id,bank,term_months,table_name,coefficient,is_active,created_at,agreement_id,safety_margin,operation_type,margin_type
410,NEO,96,NCDT_096-440_447165 - CC-CB - CD,0.0447165060,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
411,NEO,96,NCDT_096-460_466216 - CC-CB - CD,0.0466216500,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
412,NEO,96,NCDT_096-480_485387 - CC-CB - CD,0.0485387730,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
413,NEO,96,NCDT_096-500_504664 - CC- CB - CD,0.0504664770,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
414,NEO,96,NCDT_096-300_318661 - CC-CB - CD,0.0318661930,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
415,NEO,96,NCDT_096-320_336350 - CC-CB - CD,0.0336350900,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
416,NEO,96,NCDT_096-340_354302 - CC-CB - CD,0.0354302180,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
417,NEO,96,NCDT_096-360_372490 - CC-CB - CD,0.0372490470,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
418,NEO,96,NCDT_096-380_390892 - CC-CB - CD,0.0390892080,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
419,NEO,96,NCDT_096-400_409485 - CC-CB - CD,0.0409485000,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
420,NEO,96,NCDT_096-420_428248 - CC-CB - CD,0.0428248880,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
421,NEO,96,NCDT_096-440_447165 - CC-CB - CD,0.0447165060,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
422,NEO,96,NCDT_096-460_466216 - CC-CB - CD,0.0466216500,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
423,NEO,96,NCDT_096-480_485387 - CC-CB - CD,0.0485387730,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
424,NEO,96,NCDT_096-500_504664 - CC- CB - CD,0.0504664770,t,2025-11-20 14:20:41.21107,15,0.00,benefit_card,percentual
425,NEO,96,NCDT_096-420_428248 - COMPRA,0.0428248880,t,2025-11-20 14:22:32.854823,16,0.00,consignado,percentual
426,NEO,96,NCDT_096-440_447165 - COMPRA,0.0447165060,t,2025-11-20 14:22:32.854823,16,0.00,consignado,percentual
427,NEO,96,NCDT_096-460_466216 - COMPRA,0.0466216500,t,2025-11-20 14:22:32.854823,16,0.00,consignado,percentual
428,NEO,96,NCDT_096-480_485387 - COMPRA,0.0485387730,t,2025-11-20 14:22:32.854823,16,0.00,consignado,percentual
429,NEO,96,NCDT_096-500_504664 - COMPRA,0.0504664770,t,2025-11-20 14:22:32.854823,16,0.00,consignado,percentual
430,NEO,96,NCDT_096-279_301262 - CC- CB -CD,0.0301262070,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
431,NEO,96,NCDT_096-299_318661 - CC - CB - CD,0.0318661930,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
432,NEO,96,NCDT_096-319_336350 - CC - CB - CD,0.0336350900,t,2025-11-20 14:23:47.862788,10,0.00,credit_card,percentual
376,NEO,96,NCDT_096-399_409485 - CC-CB_CD,0.0409485000,t,2025-11-20 14:18:09.967951,13,0.00,credit_card,percentual
371,NEO,96,NCDT_096-299_318661 - CC-CB_CD,0.0318661930,t,2025-11-20 14:18:09.967951,13,0.00,credit_card,percentual
377,NEO,96,NCDT_096-419_428248 - CC-CB_CD,0.0428248880,t,2025-11-20 14:18:09.967951,13,0.00,credit_card,percentual
380,NEO,96,NCDT_096-500_504664 - CC - CD,0.0504664770,t,2025-11-20 14:19:37.151152,14,0.00,credit_card,percentual
366,NEO,96,NCDT_096-379_390892 - CC-CB_CD,0.0390892080,t,2025-11-20 14:18:09.967951,13,0.00,benefit_card,percentual
370,NEO,96,NCDT_096-459_466216 - CC-CB_CD,0.0466216500,t,2025-11-20 14:18:09.967951,13,0.00,benefit_card,percentual
373,NEO,96,NCDT_096-339_354302 - CC-CB_CD,0.0354302180,t,2025-11-20 14:18:09.967951,13,0.00,credit_card,percentual
369,NEO,96,NCDT_096-439_447165 - CC-CB_CD,0.0447165060,t,2025-11-20 14:18:09.967951,13,0.00,benefit_card,percentual
365,NEO,96,NCDT_096-359_372490 - CC-CB_CD,0.0372490470,t,2025-11-20 14:18:09.967951,13,0.00,benefit_card,percentual
368,NEO,96,NCDT_096-419_428248 - CC-CB_CD,0.0428248880,t,2025-11-20 14:18:09.967951,13,0.00,benefit_card,percentual
395,NEO,96,NCDT_072-440_460750 - CB - CD,0.0460750567,t,2025-11-20 14:19:37.151152,14,0.00,benefit_card,percentual
