id,lead_id,user_id,campaign_id,status,ordem_fila,data_primeiro_atendimento,data_ultimo_atendimento,created_at,updated_at
12181,162,30,3,novo,162,,,2025-12-14 11:49:03.238739,2025-12-14 11:49:03.238739
12183,164,30,3,novo,164,,,2025-12-14 11:49:03.360383,2025-12-14 11:49:03.360383
12185,166,30,3,novo,166,,,2025-12-14 11:49:03.481591,2025-12-14 11:49:03.481591
12187,168,30,3,novo,168,,,2025-12-14 11:49:03.602745,2025-12-14 11:49:03.602745
12189,170,30,3,novo,170,,,2025-12-14 11:49:03.7257,2025-12-14 11:49:03.7257
12191,172,30,3,novo,172,,,2025-12-14 11:49:03.846541,2025-12-14 11:49:03.846541
12193,174,30,3,novo,174,,,2025-12-14 11:49:03.969351,2025-12-14 11:49:03.969351
12195,176,30,3,novo,176,,,2025-12-14 11:49:04.092468,2025-12-14 11:49:04.092468
12197,178,30,3,novo,178,,,2025-12-14 11:49:04.213847,2025-12-14 11:49:04.213847
12199,180,30,3,novo,180,,,2025-12-14 11:49:04.338072,2025-12-14 11:49:04.338072
12201,182,30,3,novo,182,,,2025-12-14 11:49:04.460452,2025-12-14 11:49:04.460452
12203,184,30,3,novo,184,,,2025-12-14 11:49:04.58487,2025-12-14 11:49:04.58487
12205,186,30,3,novo,186,,,2025-12-14 11:49:04.709931,2025-12-14 11:49:04.709931
12207,188,30,3,novo,188,,,2025-12-14 11:49:04.836648,2025-12-14 11:49:04.836648
12209,190,30,3,novo,190,,,2025-12-14 11:49:04.957792,2025-12-14 11:49:04.957792
12211,192,30,3,novo,192,,,2025-12-14 11:49:05.081038,2025-12-14 11:49:05.081038
12213,194,30,3,novo,194,,,2025-12-14 11:49:05.202613,2025-12-14 11:49:05.202613
12215,196,30,3,novo,196,,,2025-12-14 11:49:05.324534,2025-12-14 11:49:05.324534
12217,198,30,3,novo,198,,,2025-12-14 11:49:05.446173,2025-12-14 11:49:05.446173
12219,200,30,3,novo,200,,,2025-12-14 11:49:05.566752,2025-12-14 11:49:05.566752
12221,202,30,3,novo,202,,,2025-12-14 11:49:05.688453,2025-12-14 11:49:05.688453
12223,204,30,3,novo,204,,,2025-12-14 11:49:05.810504,2025-12-14 11:49:05.810504
12225,206,30,3,novo,206,,,2025-12-14 11:49:05.935402,2025-12-14 11:49:05.935402
12227,208,30,3,novo,208,,,2025-12-14 11:49:06.058326,2025-12-14 11:49:06.058326
12229,210,30,3,novo,210,,,2025-12-14 11:49:06.180695,2025-12-14 11:49:06.180695
12231,212,30,3,novo,212,,,2025-12-14 11:49:06.305012,2025-12-14 11:49:06.305012
12233,214,30,3,novo,214,,,2025-12-14 11:49:06.430648,2025-12-14 11:49:06.430648
12235,216,30,3,novo,216,,,2025-12-14 11:49:06.551687,2025-12-14 11:49:06.551687
12237,218,30,3,novo,218,,,2025-12-14 11:49:06.674883,2025-12-14 11:49:06.674883
12089,2,30,3,em_atendimento,70,2025-12-15 12:33:01.471,2025-12-15 12:33:01.471,2025-12-14 11:48:57.650929,2025-12-15 12:33:01.471
12091,4,30,3,em_atendimento,72,2025-12-15 23:42:43.124,2025-12-15 23:43:09.089,2025-12-14 11:48:57.773676,2025-12-15 23:43:09.089
51,51,30,3,proposta_enviada,1,2025-12-12 00:50:39.298,2025-12-12 00:52:44.863,2025-12-12 00:50:07.318392,2025-12-12 00:52:44.863
53,53,30,3,em_atendimento,3,2025-12-12 00:53:09.294,2025-12-12 00:53:09.294,2025-12-12 00:50:07.44943,2025-12-12 00:53:09.294
57,57,30,3,em_atendimento,7,2025-12-12 10:33:03.334,2025-12-12 10:33:03.334,2025-12-12 00:50:07.698562,2025-12-12 10:33:03.334
63,63,30,3,em_atendimento,13,2025-12-12 22:29:39.793,2025-12-12 22:29:39.793,2025-12-12 00:50:08.068299,2025-12-12 22:29:39.793
68,68,30,3,em_atendimento,18,2025-12-12 23:06:58.54,2025-12-12 23:06:58.54,2025-12-12 00:50:08.379232,2025-12-12 23:06:58.54
73,73,30,3,em_atendimento,23,2025-12-13 04:27:50.972,2025-12-13 04:27:50.972,2025-12-12 00:50:08.687365,2025-12-13 04:27:50.972
78,78,30,3,em_atendimento,28,2025-12-13 12:19:31.521,2025-12-13 12:19:31.521,2025-12-12 00:50:08.992804,2025-12-13 12:19:31.521
83,83,30,3,em_atendimento,33,2025-12-13 12:37:13.595,2025-12-13 12:37:13.595,2025-12-12 00:50:09.2964,2025-12-13 12:37:13.595
88,88,30,3,em_atendimento,38,2025-12-13 15:37:25.906,2025-12-13 15:37:25.906,2025-12-12 00:50:09.605694,2025-12-13 15:37:25.906
93,93,30,3,em_atendimento,43,2025-12-13 16:14:15.558,2025-12-13 16:14:15.558,2025-12-12 00:50:09.910298,2025-12-13 16:14:15.558
97,97,30,3,proposta_enviada,47,2025-12-13 16:31:33.327,2025-12-13 16:31:52.381,2025-12-12 00:50:10.155333,2025-12-13 16:31:52.381
99,99,30,3,em_atendimento,49,2025-12-13 16:46:03.928,2025-12-13 16:46:03.928,2025-12-12 00:50:10.278712,2025-12-13 16:46:03.929
12192,173,30,3,novo,173,,,2025-12-14 11:49:03.90691,2025-12-14 11:49:03.90691
12194,175,30,3,novo,175,,,2025-12-14 11:49:04.030959,2025-12-14 11:49:04.030959
12196,177,30,3,novo,177,,,2025-12-14 11:49:04.152884,2025-12-14 11:49:04.152884
12198,179,30,3,novo,179,,,2025-12-14 11:49:04.276929,2025-12-14 11:49:04.276929
12200,181,30,3,novo,181,,,2025-12-14 11:49:04.39813,2025-12-14 11:49:04.39813
12202,183,30,3,novo,183,,,2025-12-14 11:49:04.521948,2025-12-14 11:49:04.521948
12204,185,30,3,novo,185,,,2025-12-14 11:49:04.644818,2025-12-14 11:49:04.644818
12206,187,30,3,novo,187,,,2025-12-14 11:49:04.775028,2025-12-14 11:49:04.775028
12208,189,30,3,novo,189,,,2025-12-14 11:49:04.896298,2025-12-14 11:49:04.896298
12210,191,30,3,novo,191,,,2025-12-14 11:49:05.019359,2025-12-14 11:49:05.019359
12212,193,30,3,novo,193,,,2025-12-14 11:49:05.141493,2025-12-14 11:49:05.141493
12214,195,30,3,novo,195,,,2025-12-14 11:49:05.263615,2025-12-14 11:49:05.263615
12216,197,30,3,novo,197,,,2025-12-14 11:49:05.385332,2025-12-14 11:49:05.385332
12218,199,30,3,novo,199,,,2025-12-14 11:49:05.506094,2025-12-14 11:49:05.506094
12220,201,30,3,novo,201,,,2025-12-14 11:49:05.627073,2025-12-14 11:49:05.627073
12222,203,30,3,novo,203,,,2025-12-14 11:49:05.748241,2025-12-14 11:49:05.748241
12224,205,30,3,novo,205,,,2025-12-14 11:49:05.870983,2025-12-14 11:49:05.870983
12226,207,30,3,novo,207,,,2025-12-14 11:49:05.996077,2025-12-14 11:49:05.996077
12228,209,30,3,novo,209,,,2025-12-14 11:49:06.120163,2025-12-14 11:49:06.120163
12230,211,30,3,novo,211,,,2025-12-14 11:49:06.243619,2025-12-14 11:49:06.243619
12232,213,30,3,novo,213,,,2025-12-14 11:49:06.365301,2025-12-14 11:49:06.365301
12234,215,30,3,novo,215,,,2025-12-14 11:49:06.491382,2025-12-14 11:49:06.491382
12236,217,30,3,novo,217,,,2025-12-14 11:49:06.611653,2025-12-14 11:49:06.611653
107,102,30,3,em_atendimento,52,2025-12-13 17:53:48.139,2025-12-13 17:53:48.139,2025-12-13 17:15:08.900056,2025-12-13 17:53:48.139
106,101,30,3,em_atendimento,51,2025-12-13 17:53:27.156,2025-12-13 17:53:47.626,2025-12-13 17:15:08.824858,2025-12-13 17:53:47.626
109,104,30,3,em_atendimento,54,2025-12-13 17:54:15.293,2025-12-13 17:54:15.293,2025-12-13 17:15:09.023567,2025-12-13 17:54:15.293
111,106,30,3,em_atendimento,56,2025-12-13 18:38:59.155,2025-12-13 18:38:59.155,2025-12-13 17:15:09.145811,2025-12-13 18:38:59.155
112,107,30,3,em_atendimento,57,2025-12-13 18:46:47,2025-12-13 18:46:47,2025-12-13 17:15:09.206014,2025-12-13 18:46:47
113,108,30,3,em_atendimento,58,2025-12-13 20:33:28.848,2025-12-13 20:33:28.848,2025-12-13 17:15:09.268319,2025-12-13 20:33:28.848
114,109,30,3,em_atendimento,59,2025-12-13 20:33:48.592,2025-12-13 20:33:48.592,2025-12-13 17:15:09.330609,2025-12-13 20:33:48.592
116,111,30,3,em_atendimento,61,2025-12-13 23:21:52.722,2025-12-13 23:21:52.722,2025-12-13 17:15:09.45167,2025-12-13 23:21:52.722
117,112,30,3,em_atendimento,62,2025-12-14 00:07:36.678,2025-12-14 00:07:36.678,2025-12-13 17:15:09.512939,2025-12-14 00:07:36.678
119,114,30,3,em_atendimento,64,2025-12-14 00:09:26.559,2025-12-14 00:09:26.559,2025-12-13 17:15:09.633925,2025-12-14 00:09:26.559
118,113,30,3,em_atendimento,63,2025-12-14 00:08:25.785,2025-12-14 00:09:26.169,2025-12-13 17:15:09.572593,2025-12-14 00:09:26.169
121,116,30,3,em_atendimento,66,2025-12-14 03:19:47.024,2025-12-14 03:19:47.024,2025-12-13 17:15:09.755418,2025-12-14 03:19:47.024
123,118,30,3,em_atendimento,68,2025-12-14 03:29:14.092,2025-12-14 03:29:14.092,2025-12-13 17:15:09.87924,2025-12-14 03:29:14.092
122,117,30,3,vendido,67,2025-12-14 03:28:48.605,2025-12-14 03:29:13.649,2025-12-13 17:15:09.81725,2025-12-14 03:29:13.649
12088,1,30,3,em_atendimento,69,2025-12-15 12:13:59.968,2025-12-15 12:13:59.968,2025-12-14 11:48:57.579387,2025-12-15 12:13:59.968
12238,219,30,3,novo,219,,,2025-12-15 23:41:53.496736,2025-12-15 23:41:53.496736
12240,221,30,3,novo,221,,,2025-12-15 23:41:53.62665,2025-12-15 23:41:53.62665
12242,223,30,3,novo,223,,,2025-12-15 23:41:53.740307,2025-12-15 23:41:53.740307
12244,225,30,3,novo,225,,,2025-12-15 23:41:53.853811,2025-12-15 23:41:53.853811
